Choice,Party,,Absentee Votes,Absentee %,,Early Votes,Early %,,Election Day Votes,Election Day %,,Total Votes,Total %,Contest,Precinct,County
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,FEDERAL,Wayne
JIM BANKS,REP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,FEDERAL,Wayne
VALERIE MCCRAY,DEM,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,FEDERAL,Wayne
ANDREW HORNING,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,FEDERAL,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,FEDERAL,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,FEDERAL,Wayne
JEFFERSON SHREVE,REP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,FEDERAL,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,FEDERAL,Wayne
JAMES MICHAEL SCENIAK,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,FEDERAL,Wayne
YES,,,9,75.00%,,100,45.45%,,47,44.34%,,156,46.15%,PUBLIC QUESTION #1,ABGT,Wayne
NO,,,3,25.00%,,120,54.55%,,59,55.66%,,182,53.85%,PUBLIC QUESTION #1,ABGT,Wayne
Republican Party,REP,,8,61.54%,,139,87.42%,,58,89.23%,,205,86.50%,STRAIGHT PARTY,ABGT,Wayne
Democratic Party,DEM,,5,38.46%,,20,12.58%,,7,10.77%,,32,13.50%,STRAIGHT PARTY,ABGT,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,ABGT,Wayne
We the People Party,WTP,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,ABGT,Wayne
DONALD J. TRUMP JD VANCE,REP,,11,61.11%,,222,81.92%,,112,84.85%,,345,81.95%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,7,38.89%,,45,16.61%,,15,11.36%,,67,15.91%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,1,0.37%,,0,0.00%,,1,0.24%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,3,1.11%,,5,3.79%,,8,1.90%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,ABGT,Wayne
JIM BANKS,REP,,11,61.11%,,217,81.89%,,115,87.12%,,343,82.65%,UNITED STATES SENATOR - Vote for One (1) Only,ABGT,Wayne
VALERIE MCCRAY,DEM,,7,38.89%,,42,15.85%,,14,10.61%,,63,15.18%,UNITED STATES SENATOR - Vote for One (1) Only,ABGT,Wayne
ANDREW HORNING,LIB,,0,0.00%,,6,2.26%,,3,2.27%,,9,2.17%,UNITED STATES SENATOR - Vote for One (1) Only,ABGT,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,ABGT,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,ABGT,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,10,55.56%,,200,73.80%,,104,78.79%,,314,74.58%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,ABGT,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,7,38.89%,,58,21.40%,,24,18.18%,,89,21.14%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,ABGT,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,1,5.56%,,13,4.80%,,4,3.03%,,18,4.28%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,ABGT,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,ABGT,Wayne
TODD ROKITA,REP,,11,61.11%,,222,82.53%,,109,84.50%,,342,82.21%,ATTORNEY GENERAL - Vote for One (1) Only,ABGT,Wayne
DESTINY WELLS,DEM,,7,38.89%,,47,17.47%,,20,15.50%,,74,17.79%,ATTORNEY GENERAL - Vote for One (1) Only,ABGT,Wayne
JEFFERSON SHREVE,REP,,10,55.56%,,213,80.08%,,111,85.38%,,334,80.68%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,ABGT,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,7,38.89%,,44,16.54%,,16,12.31%,,67,16.18%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,ABGT,Wayne
JAMES MICHAEL SCENIAK,LIB,,1,5.56%,,9,3.38%,,3,2.31%,,13,3.14%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,ABGT,Wayne
BRADFORD BARRETT,REP,,13,100.00%,,223,100.00%,,118,100.00%,,354,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,ABGT,Wayne
RONALD J. (RON) MOORE,REP,,12,100.00%,,216,100.00%,,116,100.00%,,344,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,ABGT,Wayne
TARA PEGG,REP,,12,100.00%,,214,100.00%,,112,100.00%,,338,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,ABGT,Wayne
BETH FIELDS,REP,,12,100.00%,,215,100.00%,,113,100.00%,,340,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,ABGT,Wayne
R. BRENT MEADOWS,REP,,12,100.00%,,213,100.00%,,112,100.00%,,337,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,ABGT,Wayne
GORDON E. MOORE,REP,,12,100.00%,,216,100.00%,,112,100.00%,,340,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,ABGT,Wayne
AARON ROBERTS,REP,,12,100.00%,,214,100.00%,,112,100.00%,,338,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,ABGT,Wayne
JEFF PLASTERER,REP,,12,100.00%,,214,100.00%,,110,100.00%,,336,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,ABGT,Wayne
GERALD (GARY) SAUNDERS,REP,,7,33.33%,,120,35.50%,,72,43.37%,,199,37.90%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,ABGT,Wayne
MAX SMITH,REP,,7,33.33%,,107,31.66%,,45,27.11%,,159,30.29%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,ABGT,Wayne
CATHY C. WILLIAMS,REP,,7,33.33%,,111,32.84%,,49,29.52%,,167,31.81%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,ABGT,Wayne
ANDY WANDERSEE,,,8,100.00%,,149,100.00%,,90,100.00%,,247,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER District A - Vote for One (1) Only,ABGT,Wayne
RENEE WESTOVER,,,9,100.00%,,176,100.00%,,93,100.00%,,278,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER District C - Vote for One (1) Only,ABGT,Wayne
M. TODD DUKE,,,9,100.00%,,148,100.00%,,84,100.00%,,241,100.00%,CENTERVILLE-ABINGTON SCHOOL BOARD MEMBER At-Large District D - Vote for Not More Than One (1),ABGT,Wayne
YES,,,8,66.67%,,133,78.24%,,75,78.13%,,216,77.70%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,ABGT,Wayne
NO,,,4,33.33%,,37,21.76%,,21,21.88%,,62,22.30%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,ABGT,Wayne
YES,,,6,50.00%,,119,71.26%,,73,76.04%,,198,72.00%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,ABGT,Wayne
NO,,,6,50.00%,,48,28.74%,,23,23.96%,,77,28.00%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,ABGT,Wayne
YES,,,8,66.67%,,121,72.89%,,73,76.04%,,202,73.72%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,ABGT,Wayne
NO,,,4,33.33%,,45,27.11%,,23,23.96%,,72,26.28%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,ABGT,Wayne
YES,,,8,66.67%,,121,72.46%,,76,80.85%,,205,75.09%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,ABGT,Wayne
NO,,,4,33.33%,,46,27.54%,,18,19.15%,,68,24.91%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,ABGT,Wayne
YES,,,8,66.67%,,117,71.78%,,68,75.56%,,193,72.83%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,ABGT,Wayne
NO,,,4,33.33%,,46,28.22%,,22,24.44%,,72,27.17%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,ABGT,Wayne
YES,,,11,64.71%,,114,48.93%,,58,49.15%,,183,49.73%,PUBLIC QUESTION #1,BOST,Wayne
NO,,,6,35.29%,,119,51.07%,,60,50.85%,,185,50.27%,PUBLIC QUESTION #1,BOST,Wayne
Republican Party,REP,,9,45.00%,,135,78.95%,,62,80.52%,,206,76.87%,STRAIGHT PARTY,BOST,Wayne
Democratic Party,DEM,,11,55.00%,,34,19.88%,,13,16.88%,,58,21.64%,STRAIGHT PARTY,BOST,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,STRAIGHT PARTY,BOST,Wayne
We the People Party,WTP,,0,0.00%,,2,1.17%,,2,2.60%,,4,1.49%,STRAIGHT PARTY,BOST,Wayne
DONALD J. TRUMP JD VANCE,REP,,13,50.00%,,232,75.82%,,118,77.63%,,363,75.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,13,50.00%,,70,22.88%,,31,20.39%,,114,23.55%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,3,0.98%,,2,1.32%,,5,1.03%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,1,0.33%,,1,0.66%,,2,0.41%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,BOST,Wayne
JIM BANKS,REP,,13,50.00%,,229,76.08%,,110,73.83%,,352,73.95%,UNITED STATES SENATOR - Vote for One (1) Only,BOST,Wayne
VALERIE MCCRAY,DEM,,13,50.00%,,67,22.26%,,29,19.46%,,109,22.90%,UNITED STATES SENATOR - Vote for One (1) Only,BOST,Wayne
ANDREW HORNING,LIB,,0,0.00%,,5,1.66%,,9,6.04%,,14,2.94%,UNITED STATES SENATOR - Vote for One (1) Only,BOST,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,BOST,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,1,0.67%,,1,0.21%,UNITED STATES SENATOR - Vote for One (1) Only,BOST,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,13,50.00%,,218,72.43%,,105,69.54%,,336,70.29%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,BOST,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,13,50.00%,,75,24.92%,,37,24.50%,,125,26.15%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,BOST,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,0,0.00%,,8,2.66%,,9,5.96%,,17,3.56%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,BOST,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,BOST,Wayne
TODD ROKITA,REP,,13,50.00%,,230,76.67%,,112,75.68%,,355,74.89%,ATTORNEY GENERAL - Vote for One (1) Only,BOST,Wayne
DESTINY WELLS,DEM,,13,50.00%,,70,23.33%,,36,24.32%,,119,25.11%,ATTORNEY GENERAL - Vote for One (1) Only,BOST,Wayne
JEFFERSON SHREVE,REP,,13,50.00%,,221,74.16%,,113,76.87%,,347,73.67%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,BOST,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,13,50.00%,,67,22.48%,,27,18.37%,,107,22.72%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,BOST,Wayne
JAMES MICHAEL SCENIAK,LIB,,0,0.00%,,10,3.36%,,7,4.76%,,17,3.61%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,BOST,Wayne
